number,name,image,theme,subtheme,year,rating,owner,want_it,pieces,minifigs,us_price,eu_price
30399,Bowling Alley,https://images.brickset.com/sets/small/30399-1.jpg,Friends,Amusement Park,2016,3.0,1316,388,51,1,3.99,
30421,Skybound Plane,https://images.brickset.com/sets/small/30421-1.jpg,Ninjago,Skybound,2016,4.5,1843,584,30,1,,
30422,Kai's Mini Dragon,https://images.brickset.com/sets/small/30422-1.jpg,Ninjago,Skybound,2016,4.7,4316,438,39,1,,
30423,Anchor-Jet,https://images.brickset.com/sets/small/30423-1.jpg,Ninjago,Skybound,2016,,339,447,38,1,,
30424,WU-CRU Training Dojo,https://images.brickset.com/sets/small/30424-1.jpg,Ninjago,General,2016,,533,426,43,2,,
30446,The Batmobile,https://images.brickset.com/sets/small/30446-1.jpg,DC Comics Super Heroes,DC Extended Universe,2016,4.0,2612,843,63,,3.99,
30447,Captain America's Motorcycle ,https://images.brickset.com/sets/small/30447-1.jpg,Marvel Super Heroes,Captain America: Civil War,2016,4.0,3602,1006,25,1,,
30448,Spider-Man vs. The Venom Symbiote,https://images.brickset.com/sets/small/30448-1.jpg,Marvel Super Heroes,Ultimate Spider-Man,2016,4.7,1813,1339,49,1,,
30471,Helicopter,https://images.brickset.com/sets/small/30471-1.jpg,Creator,,2016,4.0,723,262,47,,,
30472,Parrot,https://images.brickset.com/sets/small/30472-1.jpg,Creator,,2016,,3576,394,43,,,
30473,Racer,https://images.brickset.com/sets/small/30473-1.jpg,Juniors,City,2016,,625,166,30,1,,0.01
30474,Reindeer,https://images.brickset.com/sets/small/30474-1.jpg,Creator,Seasonal,2016,5.0,1974,884,77,,3.49,
30601,Scooby-Doo,https://images.brickset.com/sets/small/30601-1.jpg,Scooby-Doo,,2016,3.5,733,601,2,,,
30602,First Order Stormtrooper,https://images.brickset.com/sets/small/30602-1.jpg,Star Wars,The Force Awakens,2016,5.0,4367,1089,7,1,,
30603,Batman Classic TV Series - Mr. Freeze,https://images.brickset.com/sets/small/30603-1.jpg,DC Comics Super Heroes,Batman Classic TV Series,2016,4.3,4195,997,16,1,,
30604,Cosmic Boy,https://images.brickset.com/sets/small/30604-1.jpg,DC Comics Super Heroes,,2016,3.5,1845,1106,7,1,,
30605,Finn (FN-2187),https://images.brickset.com/sets/small/30605-1.jpg,Star Wars,The Force Awakens,2016,3.0,2805,2061,5,1,,
30606,Nightwing,https://images.brickset.com/sets/small/30606-1.jpg,DC Comics Super Heroes,Batman,2016,3.0,1863,1095,6,1,,
31040,Desert Racers,https://images.brickset.com/sets/small/31040-1.jpg,Creator,,2016,3.0,2237,322,65,,4.99,4.99
31041,Construction Vehicles,https://images.brickset.com/sets/small/31041-1.jpg,Creator,,2016,5.0,2207,286,64,,4.99,4.99
31042,Super Soarer,https://images.brickset.com/sets/small/31042-1.jpg,Creator,,2016,4.0,2050,275,100,,9.99,9.99
31043,Chopper Transporter,https://images.brickset.com/sets/small/31043-1.jpg,Creator,,2016,5.0,1583,304,124,,9.99,9.99
31044,Park Animals,https://images.brickset.com/sets/small/31044-1.jpg,Creator,,2016,4.0,2802,706,202,,14.99,14.99
31045,Ocean Explorer,https://images.brickset.com/sets/small/31045-1.jpg,Creator,,2016,5.0,2510,522,213,,14.99,14.99
31046,Fast Car,https://images.brickset.com/sets/small/31046-1.jpg,Creator,,2016,4.3,1505,385,222,,19.99,19.99
31047,Propeller Plane,https://images.brickset.com/sets/small/31047-1.jpg,Creator,,2016,4.5,2116,573,230,,19.99,19.99
31048,Lakeside Lodge,https://images.brickset.com/sets/small/31048-1.jpg,Creator,,2016,4.8,5792,1706,368,1,29.99,24.99
31049,Twin Spin Helicopter,https://images.brickset.com/sets/small/31049-1.jpg,Creator,,2016,,843,386,326,,29.99,29.99
31050,Corner Deli,https://images.brickset.com/sets/small/31050-1.jpg,Creator,,2016,4.8,7219,2150,467,2,39.99,34.99
31051,Lighthouse Point,https://images.brickset.com/sets/small/31051-1.jpg,Creator,,2016,5.0,4132,2265,528,2,59.99,49.99
31052,Vacation Getaways,https://images.brickset.com/sets/small/31052-1.jpg,Creator,,2016,5.0,5682,2399,792,2,69.99,59.99
31053,Treehouse Adventures,https://images.brickset.com/sets/small/31053-1.jpg,Creator,,2016,5.0,2735,1566,387,2,34.99,29.99
40127,Space Shuttle (Uniqlo edition),https://images.brickset.com/sets/small/40127-2.jpg,Promotional,Uniqlo,2016,,41,75,39,,,
40128,Robot (Uniqlo edition),https://images.brickset.com/sets/small/40128-2.jpg,Promotional,Uniqlo,2016,,44,65,50,,,
40130,Koala (Uniqlo edition),https://images.brickset.com/sets/small/40130-2.jpg,Promotional,Uniqlo,2016,,37,60,65,,,
40131,Parrot (Uniqlo edition),https://images.brickset.com/sets/small/40131-2.jpg,Promotional,Uniqlo,2016,,47,57,55,,,
40161,What am I?,https://images.brickset.com/sets/small/40161-1.jpg,Miscellaneous,,2016,,1168,390,536,16,29.99,34.99
40165,Minifigure Wedding Favour Set,https://images.brickset.com/sets/small/40165-1.jpg,Miscellaneous,,2016,5.0,3627,427,89,2,9.99,7.99
40166,LEGOLAND Train,https://images.brickset.com/sets/small/40166-1.jpg,Promotional,LEGOLAND,2016,5.0,1505,490,210,4,19.99,
40167,My First Set,https://images.brickset.com/sets/small/40167-1.jpg,Duplo,,2016,,251,26,10,,,
40179,Personalised Mosaic Portrait,https://images.brickset.com/sets/small/40179-1.jpg,Miscellaneous,,2016,3.0,122,269,4502,,,
40201,Valentine's Cupid Dog,https://images.brickset.com/sets/small/40201-1.jpg,Seasonal,Valentine's Day,2016,,2022,413,150,,9.99,9.99
